Item Name,Part No,CPU Socket,Motherboard Chipset,Manufacturer URL
ASUS PRIME B760-PLUS D4,,LGA 1700,B760,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B760-PLUS-D4/
ASUS PRIME B760M-A WIFI D4,,LGA 1700,B760,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B760M-A-WIFI-D4/
ASUS PRIME B760M-A D4,,LGA 1700,B760,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B760M-A-D4/
ASUS TUF GAMING B760M-PLUS D4,,LGA 1700,B760,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B760M-PLUS-D4/
ASUS PRIME H770-PLUS D4,,LGA 1700,H77,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H770-PLUS-D4/
ASUS ROG STRIX B760-A GAMING WIFI D4,90MB1DD0-M0AAY0,LGA 1700,B760,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b760-a-gaming-wifi-d4-model/
ASUS ROG STRIX B760-I GAMING WIFI,90MB1D90-M0AAY0,LGA 1700,B760,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b760-i-gaming-wifi-model/
ASUS ROG STRIX B760-F GAMING WIFI,90MB1CT0-M0AAY0,LGA 1700,B760,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b760-f-gaming-wifi-model/
ASUS PRIME B650M-A,,AM5,B65,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B650M-A/
ASUS TUF GAMING Z790-PLUS WIFI,,LGA1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-Z790-PLUS-WIFI/
ASUS TUF GAMING B650M-PLUS WIFI,,AM5,B65,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B650M-PLUS-WIFI/
ASUS PRIME B650-PLUS,,AM5,B65,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B650-PLUS/
ASUS PRIME X670-P WIFI-CSM,,AM5,X670,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-X670-P-WIFI-CSM/
ASUS TUF GAMING B650-PLUS WIFI,,AM5,B65,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B650-PLUS-WIFI/
ASUS PRIME Z790M-PLUS D4-CSM,,LGA 1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-Z790M-PLUS-D4-CSM/
ASUS PRIME Z790-P WIFI-CSM,,LGA 1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-Z790-P-WIFI-CSM/
ASUS TUF GAMING Z790-PLUS WIFI D4,,LGA1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-Z790-PLUS-WIFI-D4/
ASUS PRIME Z790-A WIFI,,LGA 1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-Z790-A-WIFI/
ASUS PRIME X670E-PRO WIFI,,AM5,X670,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X670E-PRO-WIFI/
ASUS ROG STRIX B650-A GAMING WIFI,90MB1BP0-M0AAY0,AM5,B65,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b650-a-gaming-wifi-model/
ASUS ROG STRIX B650E-F GAMING WIFI,90MB1BQ0-M0AAY0,AM5,B65,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b650e-f-gaming-wifi-model/
ASUS ProArt Z790-CREATOR WIFI,,LGA 1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-Z790-CREATOR-WIFI/
ASUS ProArt B650-CREATOR,,AM5,B65,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-B650-CREATOR/
ASUS ROG STRIX Z790-I GAMING WIFI,90MB1CM0-M0AAY0,LGA 1700,Z790,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z790-i-gaming-wifi-model/
ASUS ROG STRIX Z790-E GAMING WIFI,90MB1CL0-M0AAY0,LGA 1700,Z790,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z790-e-gaming-wifi-model/
ASUS ROG MAXIMUS Z790 HERO,90MB1CI0-M0AAY0,LGA 1700,Z790,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z790-hero-model/
ASUS ROG MAXIMUS Z790 EXTREME,90MB1CB0-M0AAY0,LGA 1700,Z790,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z790-extreme-model/
ASUS ROG STRIX Z790-A GAMING WIFI D4,90MB1CN0-M0AAY0,LGA 1700,Z790,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z790-a-gaming-wifi-d4-model/
ASUS PRIME Z790-A WIFI-CSM,,LGA 1700,Z790,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-Z790-A-WIFI-CSM/
ASUS ProArt X670E-CREATOR WIFI,,AM5,X670,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-X670E-CREATOR-WIFI/
ASUS TUF GAMING X670E-PLUS WIFI,,AM5,X670,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-X670E-PLUS-WIFI/
